Business Name,Category,City,State/Province,Country,Phone,Contact Name,Notes
"""Cliffside Wood Flooring""",Hardwood Flooring,Guelph,Ontario,Canada,(647) 525-2111,Debbie Stewart,The Knot listed but no own site.
"""Crossroads Waxing & Threading""",Waxing Studio,Elgin,Illinois,USA,(618) 623-7737,Dr. Debbie Nieminen,Jane App only. No own website.
"""Columbia Aquarium Service""",Aquarium Service,Albany,New York,USA,(914) 826-5372,Ed Evans,Google Business profile only.
"""Pioneer Meal Prep""",Meal Prep,Omaha,Nebraska,USA,(308) 904-8808,Dr. Amber Jensen,Phone book listing.
"""Superior Nail Studio""",Nail Salon,Langley,British Columbia,Canada,(778) 685-3253,Alain Richardson,Flyers and referrals.
"""Alliance Tow & Recovery""",Towing,Missoula,Montana,USA,(406) 960-4323,Bob Powell,Yard signs only.
"""Longview Maids""",Cleaning Services,Springfield,Massachusetts,USA,(857) 452-8005,Glenda Christensen,No social media. No web.
"""Prairie Music Equipment Repair""",Instrument Repair,Chico,California,USA,(760) 785-9784,Raj Gibson,Listed on HomeAdvisor only.
"""North Videography""",Videography,Santa Rosa,California,USA,(209) 451-9498,Dwight Crawford,Houzz profile. No own website.
"""Oakridge Pet Grooming""",Dog Grooming,Oxnard,California,USA,(408) 498-8201,Darnell MacDonald,No social media. No web.
"""Willow Floor Installation""",Flooring Installation,Dayton,Ohio,USA,(614) 255-9470,Cody Bell,Door-to-door flyers.
"""Borderline Acupuncture & Wellness""",Acupuncture,Grande Prairie,Alberta,Canada,(587) 912-9952,Norma Carter,Phone book listing.
"""Great Plains Pet Grooming""",Dog Grooming,Vancouver,Washington,USA,(564) 406-8449,Jim Rivera,No digital presence whatsoever.
"""Suncoast Pumping & Septic""",Septic Services,Allentown,Pennsylvania,USA,(267) 316-8362,Rosa Laine,Family-run shop. Facebook only.
"""North Country Window World""",Window Installation,Cape Coral,Florida,USA,(407) 587-7235,Rene Nieminen,Word-of-mouth only.
"""Gulf Piano Tuning""",Piano Tuning,Frederick,Maryland,USA,(240) 629-6047,Rosa Morris,Jane App only. No own website.
"""Fort Tech Repair""",Computer Repair,Red Deer,Alberta,Canada,(403) 203-5146,Diana Robinson,Facebook page only.
"""Modern Spine & Joint Care""",Chiropractic,Saint John,New Brunswick,Canada,(506) 422-8794,Dave Gupta,Local newspaper ads only.
"""Blue Ridge K9 Academy""",Dog Training,Calgary,Alberta,Canada,(780) 834-4401,Dave Wood,Yelp listing only.
"""Arrow Windshield Repair""",Auto Glass,Lexington,Kentucky,USA,(270) 883-5889,Nadia Taylor,Facebook group only.
"""Capital City Power Wash""",Pressure Washing,Greeley,Colorado,USA,(719) 666-6901,Angela Morgan,Word-of-mouth only.
"""Great Plains Power Wash""",Pressure Washing,Toledo,Ohio,USA,(567) 266-5797,Yves Young,"Radio ads, no web."
"""Suncoast Stonework""",Masonry,Evansville,Indiana,USA,(260) 912-4425,Hassan Bergeron,In business 20+ years. No web presence.
"""Open Range Pest Control""",Pest Control,Rockford,Illinois,USA,(331) 637-6185,Wanda Maki,Angie's List profile.
"""Pro Sun Studio""",Tanning Salon,Saguenay,Quebec,Canada,(819) 946-9154,Donna Joshi,"Lettered truck, no site."
"""Precision Screen Printing""",Screen Printing,Detroit,Michigan,USA,(231) 676-2932,Dr. Jun Howard,Yard signs only.
"""Lakeview Embroidery & Monogram""",Embroidery,Bellevue,Washington,USA,(564) 417-1185,Ahmed Sullivan,Family-run shop. Facebook only.
"""Excel Tire & Auto""",Tire Shop,Greensboro,North Carolina,USA,(910) 985-1100,Ping Simmons,Kijiji ads only.
"""Harvest Driver Training""",Driving School,Cranston,Rhode Island,USA,(401) 398-6415,Boris Joshi,Facebook group only.
"""Midland Senior Care""",Senior Home Care,Chilliwack,British Columbia,Canada,(778) 749-6490,Brenda Cote,Local newspaper ads only.
"""Uptown Printing""",Printing Services,Vancouver,Washington,USA,(564) 523-9779,Marcus Simmons,Google Maps listing only.
"""Summit Oil & Filter""",Oil Change,Trois-Rivieres,Quebec,Canada,(450) 231-6556,Andre Thompson,Phone orders only.
"""Copper Canyon Notary Public""",Notary,Markham,Ontario,Canada,(807) 969-6050,Gloria Singh,Facebook check-ins.
"""First Class Engine & Equipment Repair""",Small Engine Repair,Modesto,California,USA,(510) 662-5958,Tony Lavoie,Yard signs only.
"""Cottage Country Tanning Salon""",Tanning Salon,Akron,Ohio,USA,(234) 654-9290,Alain Taylor,Google Maps listing only.
"""Mountain Embroidery & Monogram""",Embroidery,Vernon,British Columbia,Canada,(250) 736-6084,Sofia Hamilton,Facebook check-ins.
"""Mystic Spray Foam""",Insulation,Roswell,Georgia,USA,(770) 596-9558,Donna Peterson,Kijiji ads only.
"""Anchor Rooter""",Plumbing,Norman,Oklahoma,USA,(405) 305-9529,Tony Myers,Chamber of Commerce directory only.
"""All Season Screen & TV Fix""",TV Repair,Norman,Oklahoma,USA,(580) 405-4154,Xiao Campbell,Old Yellow Pages ad.
"""Granite Chimney Sweep""",Chimney Sweep,London,Ontario,Canada,(905) 317-1249,Sandy Powell,In business 20+ years. No web presence.
"""Budget Food Truck""",Food Truck,Barrie,Ontario,Canada,(905) 344-5641,Terrell Sullivan,Listed on Bark.com only.
"""Bayview 1-800-Junk Alternative""",Junk Removal,Frederick,Maryland,USA,(301) 229-8712,Sara Arsenault,Yelp listing only.
"""Apex Drywall""",Drywall,Orem,Utah,USA,(801) 806-8304,Dwayne Gibson,In business 20+ years. No web presence.
"""Gulf Renovations""",Renovations,Norman,Oklahoma,USA,(918) 781-3159,DeShawn Hall,No digital presence whatsoever.
"""Broad Street Sprinkler Systems""",Irrigation,Coquitlam,British Columbia,Canada,(778) 681-4796,Xiao Jensen,Lawn signs and referrals.
"""Hillcrest Insulation Co.""",Insulation,Camden,New Jersey,USA,(856) 532-8426,Diana Hansen,"Lettered truck, no site."
"""Midland Roofing""",Roofing,Jacksonville,Florida,USA,(407) 489-6711,Nadia Roy,Google Business profile only.
"""Mountain View Personal Chef""",Personal Chef,Fishers,Indiana,USA,(317) 769-2162,Glen Virtanen,Jane App only. No own website.
"""Kings Waxing & Threading""",Waxing Studio,Burnaby,British Columbia,Canada,(604) 693-7288,Miguel Rao,Craigslist ads.
"""Suncoast Home Repair""",Handyman,Jackson,Mississippi,USA,(601) 377-2276,Roy Tran,Listed on Bark.com only.
"""Cedar Lawn Aeration""",Power Raking,Winnipeg,Manitoba,Canada,(431) 380-6046,Cody Diaz,No social media. No web.
"""Summit Maids""",Cleaning Services,Rockford,Illinois,USA,(847) 262-2483,Yves Diaz,Yard signs only.
"""Palmetto Irrigation & Lawn""",Irrigation,Overland Park,Kansas,USA,(913) 744-5775,Mike Morris,Phone orders only.
"""Main Street Bookkeeping""",Bookkeeping,Trois-Rivieres,Quebec,Canada,(450) 783-5989,Michelle Nielsen,"Old Tripod site, not maintained."
"""Bluewater Mower Repair""",Lawn Mower Repair,Nashville,Tennessee,USA,(931) 501-2022,Jerome Marshall,Walk-in traffic only.
"""A-1 Event Catering""",Catering,Grand Junction,Colorado,USA,(719) 642-7459,Don Hughes,Family-run shop. Facebook only.
"""Lakeshore Tile Installation""",Tile Installation,Provo,Utah,USA,(385) 686-3278,Roy Chiasson,Nextdoor referrals only.
"""Highland Mobile Kitchen""",Food Truck,Orem,Utah,USA,(801) 328-3200,Cindy Flores,Facebook page only.
"""Colonial Steam Cleaning""",Carpet Cleaning,Yuma,Arizona,USA,(623) 666-7974,Roy Turner,In business 20+ years. No web presence.
"""Mountain View Glass & Windshield""",Auto Glass,Fort McMurray,Alberta,Canada,(403) 390-7959,Olga Hicks,Google Business profile only.
"""Modern Plumbing & Drain""",Plumbing,Trois-Rivieres,Quebec,Canada,(819) 790-7012,Norma Perry,Word-of-mouth only.
"""Midwest Landscape Services""",Landscaping,Laval,Quebec,Canada,(514) 345-9624,Don Lee,Postcards and flyers.
"""Blue Ridge Acupuncture & Wellness""",Acupuncture,Brampton,Ontario,Canada,(705) 879-2279,Tony Wood,Family-run shop. Facebook only.
"""Golden Valley Bakery""",Bakery,Regina,Saskatchewan,Canada,(639) 664-9399,Omar Lafleur,"Radio ads, no web."
"""Lakefront Private Chef""",Personal Chef,Providence,Rhode Island,USA,(401) 944-5267,Fang Washington,Yelp listing only.
"""Palmetto Notary Services""",Notary,Nanaimo,British Columbia,Canada,(778) 955-1447,Alexei White,Old Yellow Pages ad.
"""Champion Hot Yoga""",Yoga Studio,Gainesville,Florida,USA,(772) 481-5209,Larry Patterson,Facebook page only.
"""Port City Phone Repair""",Phone Repair,Naperville,Illinois,USA,(309) 467-4869,Pam Reid,"Lettered truck, no site."
"""Alliance Glass & Windshield""",Auto Glass,Kingston,Ontario,Canada,(807) 357-9125,Frank Morris,Existing site broken since 2018.
"""Eastern Piano Service""",Piano Tuning,Orem,Utah,USA,(435) 255-5331,Elena Gray,Kijiji ads only.
"""Meadowbrook Arborist""",Tree Service,Bangor,Maine,USA,(207) 588-7390,Charlene Foster,"Radio ads, no web."
"""North Shore Water Well Service""",Well Drilling,Olathe,Kansas,USA,(913) 591-6172,Bob Flores,Listed on HomeAdvisor only.
"""Broad Street Auto School""",Driving School,Chico,California,USA,(714) 479-6488,Andre Simpson,Postcards and flyers.
"""Excel Pool Care""",Pool Maintenance,Roswell,Georgia,USA,(478) 951-4193,Sasha Gibson,Listed on HomeAdvisor only.
"""Grand Handyman""",Handyman,Detroit,Michigan,USA,(248) 737-2702,Dr. John Young,Business card and referrals only.
"""Township General Contracting""",General Contracting,Columbia,Missouri,USA,(660) 294-1931,Dr. Jorge Howard,Google Business profile only.
"""Plateau Piano & Guitar Lessons""",Music Lessons,Springfield,Missouri,USA,(314) 819-3128,Karen Makinen,Phone orders only.
"""Crossroads Music Lessons""",Music Lessons,Quebec City,Quebec,Canada,(514) 854-8429,Gloria Ross,Postcards and flyers.
"""Suncoast Piano Service""",Piano Tuning,Milwaukee,Wisconsin,USA,(534) 995-2022,Pedro Morgan,Phone orders only.
"""Atlas Asphalt & Sealing""",Paving/Asphalt,Cranston,Rhode Island,USA,(401) 405-7432,Rico Rivera,Instagram only.
"""Capital City Videography""",Videography,Steinbach,Manitoba,Canada,(204) 652-5243,Terrell Simpson,Yellow Pages listing.
"""Bayview Landscape Services""",Landscaping,Hialeah,Florida,USA,(386) 868-1014,Merle Jones,Word-of-mouth only.
"""First Choice Daycare""",Daycare,Montpelier,Vermont,USA,(802) 689-8144,Hassan Gibson,No social media. No web.
"""Northside Duct Cleaning""",Duct Cleaning,Orlando,Florida,USA,(954) 324-9770,Mike Ellis,Farmers market vendor only.
"""Kings Appliance Repair""",Appliance Repair,Dayton,Ohio,USA,(419) 282-8530,Pete West,Old Yellow Pages ad.
"""Country Event Video""",Videography,Rochester,Minnesota,USA,(507) 912-7391,Bill Ellis,Yellow Pages listing.
"""Millcreek Notary Services""",Notary,Dallas,Texas,USA,(214) 397-1415,Floyd Koskinen,Yelp + Facebook. No website.
"""Iron Moving""",Moving,Brandon,Manitoba,Canada,(431) 216-1606,Terrell Fraser,Facebook group only.
"""Woodland Pest Control""",Pest Control,Charleston,South Carolina,USA,(864) 894-9791,Glen Robinson,Door-to-door flyers.
"""East Side Phone Repair""",Phone Repair,Regina,Saskatchewan,Canada,(306) 682-1750,Rick Koskinen,HomeStars profile only.
"""Action Security""",Security Systems,Bloomington,Indiana,USA,(219) 667-3796,Mark Gonzales,Yelp + Facebook. No website.
"""Cedar Clean Team""",Cleaning Services,Idaho Falls,Idaho,USA,(208) 545-7586,Jessica Thompson,Facebook check-ins.
"""Northern Fencing""",Fencing,Saguenay,Quebec,Canada,(819) 377-6496,Amir Ramirez,Craigslist ads.
"""Colonial Fence & Gate""",Fencing,Albany,New York,USA,(347) 649-4991,Teresa Olsen,Yelp + Facebook. No website.
"""Brookside Mowing""",Lawn Care,Davenport,Iowa,USA,(319) 206-1118,Maria Jones,Instagram only.
"""Lakewood Power Washing Co.""",Pressure Washing,Durham,North Carolina,USA,(704) 855-5439,Charlene Pedersen,Listed on HomeAdvisor only.
"""Economy Massage Therapy""",Massage Therapy,Tacoma,Washington,USA,(425) 826-2442,Rick Singh,Family-run shop. Facebook only.
"""High Country Lawn & Hydroseed""",Hydroseeding,Akron,Ohio,USA,(234) 742-2567,Dave Petrov,In business 20+ years. No web presence.
"""Mountain High Windows & Doors""",Window Installation,Oakville,Ontario,Canada,(905) 254-4173,Cody MacLeod,Kijiji ads only.
"""Summit Sign Shop""",Sign Making,Louisville,Kentucky,USA,(270) 255-6966,Betty Rivera,Old Yellow Pages ad.
"""Evergreen Oil & Filter""",Oil Change,Racine,Wisconsin,USA,(262) 750-3881,Dale Thomas,Flyers and referrals.
"""Millcreek Copy & Print""",Printing Services,Fresno,California,USA,(760) 655-6340,Phil Lewis,Existing site broken since 2018.
"""Eagle Ridge Tire & Auto""",Tire Shop,Erie,Pennsylvania,USA,(610) 404-7152,Fatima Kelly,Lawn signs and referrals.
"""Parkside Steam Cleaning""",Carpet Cleaning,Kamloops,British Columbia,Canada,(250) 665-3917,Jeff Stevens,Phone orders only.
"""Meadow Siding Installation""",Siding,Sioux City,Iowa,USA,(563) 407-6503,Ana MacDonald,Phone book listing.
"""Atlas Landscape Services""",Landscaping,Gatineau,Quebec,Canada,(418) 628-3804,Brenda Carter,Facebook group only.
"""Port City Muffler & Exhaust""",Muffler Shop,Columbus,Ohio,USA,(330) 288-7745,Teresa Park,Listed on HomeAdvisor only.
"""Pinecrest Yoga & Wellness""",Yoga Studio,Saint Louis,Missouri,USA,(636) 953-5041,Dr. Cody Patterson,HomeStars profile only.
"""Palmetto Upholstery""",Upholstery,Racine,Wisconsin,USA,(608) 245-1656,Pam Kim,"Radio ads, no web."
"""Alliance PC & Mac Repair""",Computer Repair,Yellowknife,Northwest Territories,Canada,(867) 663-9114,Tyrone Gibson,HomeStars profile only.
"""Valley Window Cleaning""",Window Cleaning,Windsor,Ontario,Canada,(905) 444-2486,Keith James,Google Maps listing only.
"""Continental Private Training""",Personal Training,Youngstown,Ohio,USA,(216) 665-8598,Travis Kim,Phone book listing.
"""Crossroads Custom Glass""",Glass & Mirror,Charlottesville,Virginia,USA,(804) 842-2158,Cody Korhonen,Phone orders only.
"""North Shore Courier""",Courier/Delivery,Cranston,Rhode Island,USA,(401) 901-2326,Fang Webb,In business 20+ years. No web presence.
"""Tri-State Blinds & Shutters""",Blinds & Shutters,Columbia,South Carolina,USA,(803) 313-7274,Darius Larsen,Walk-in traffic only.
"""Hillcrest Holistic Health""",Acupuncture,Oxnard,California,USA,(213) 774-4354,Carmen Grant,Phone book listing.
"""Northside Appliance Repair""",Appliance Repair,Henderson,Nevada,USA,(775) 919-4437,Rhonda Koskinen,Lawn signs and referrals.
"""First Choice Reupholstering""",Upholstery,Clarksville,Tennessee,USA,(629) 553-8412,Dr. Troy Long,"Lettered truck, no site."
"""Central Nails & Spa""",Nail Salon,Hamilton,Ontario,Canada,(905) 662-7031,DeShawn Andersen,Craigslist ads.
"""Bluewater Towing""",Towing,Vancouver,British Columbia,Canada,(604) 311-3699,Gord Rivera,Postcards and flyers.
"""Modern Concrete""",Concrete,Lexington,Kentucky,USA,(270) 500-7824,Michelle Leblanc,Houzz profile. No own website.
"""Heritage Deck Builders""",Deck Building,Nanaimo,British Columbia,Canada,(778) 393-2031,Clyde Koskinen,Google Maps listing only.
"""North Mirror & Glass""",Glass & Mirror,Omaha,Nebraska,USA,(531) 861-6346,Ahmed Gomez,"Lettered truck, no site."
"""Oak Dry Cleaners""",Dry Cleaning,Kitchener,Ontario,Canada,(807) 513-3813,Travis Foster,Angie's List profile.
"""Hilltop Lock & Key""",Locksmith,Vernon,British Columbia,Canada,(778) 370-3634,Mark Morris,Houzz profile. No own website.
"""Cottage Country Garage Door Service""",Garage Doors,Grand Rapids,Michigan,USA,(231) 524-3072,Cindy Morgan,Business card and referrals only.
"""Crossroads Well Drilling""",Well Drilling,Laredo,Texas,USA,(469) 552-3423,Dr. Ivan Makinen,Walk-in traffic only.
"""Continental Therapeutic Massage""",Massage Therapy,Oakville,Ontario,Canada,(519) 711-3381,Liang Campbell,Local newspaper ads only.
"""AAA Tile Works""",Tile Installation,Shreveport,Louisiana,USA,(337) 685-5748,Kendall Girard,Listed on Bark.com only.
"""Old Town Family Daycare""",Daycare,Lexington,Kentucky,USA,(606) 241-3284,Clyde Ford,The Knot listed but no own site.
"""All Star Concrete Co.""",Concrete,Oklahoma City,Oklahoma,USA,(580) 256-4197,Jessica Hunter,Yelp + Facebook. No website.
"""Willow Creek Sun Studio""",Tanning Salon,Independence,Missouri,USA,(636) 893-2431,Jean Garcia,Thumbtack profile only.
"""Miramar Pet Grooming""",Dog Grooming,Dearborn,Michigan,USA,(586) 607-3423,Jerome Harris,"Old Tripod site, not maintained."
"""Hilltop Siding & Trim""",Siding,Sandy,Utah,USA,(435) 774-2435,Mei Graham,Yard signs only.
"""United PC & Mac Repair""",Computer Repair,Edmonton,Alberta,Canada,(587) 634-7786,Clyde Flores,Phone book listing.
"""Plateau Snow Removal""",Snow Removal,Whitehorse,Yukon,Canada,(867) 267-7156,Sharon Gray,No digital presence whatsoever.
"""Ridgeline Plumbing Services""",Plumbing,Spokane,Washington,USA,(564) 781-3243,Brent Bailey,Nextdoor referrals only.
"""Frontier Windshield Repair""",Auto Glass,Provo,Utah,USA,(435) 799-5979,Glenda Anderson,"Lettered truck, no site."
"""Eagle Food Truck""",Food Truck,Kelowna,British Columbia,Canada,(250) 851-8742,Mike Reed,Kijiji ads only.
"""Lakewood Tutoring""",Tutoring,Fayetteville,North Carolina,USA,(252) 322-5541,Glenda Christensen,"Lettered truck, no site."
"""Palmetto Clean Team""",Cleaning Services,Fort Worth,Texas,USA,(903) 902-8799,Dmitri Stevens,Kijiji ads only.
"""Tri-City Siding Installation""",Siding,Truro,Nova Scotia,Canada,(902) 349-6237,Steve Coleman,Local newspaper ads only.
"""High Plains Blinds & Shutters""",Blinds & Shutters,Sioux City,Iowa,USA,(563) 249-5749,Jeff Powell,Old Yellow Pages ad.
"""Mountainview Tanning Salon""",Tanning Salon,Fort Lauderdale,Florida,USA,(407) 756-6285,Diana Scott,Facebook check-ins.
"""First Class Lawn & Hydroseed""",Hydroseeding,Akron,Ohio,USA,(283) 213-3243,Ray Lafleur,Listed on HomeAdvisor only.
"""Willowbrook Overhead Doors""",Garage Doors,Corpus Christi,Texas,USA,(346) 304-4569,Lance Hamilton,Door-to-door flyers.
"""Crosstown Nail Studio""",Nail Salon,Independence,Missouri,USA,(816) 974-2867,Jamal Lafleur,Existing site broken since 2018.
"""Cedar Chiropractic""",Chiropractic,Fort Lauderdale,Florida,USA,(850) 342-8240,Steve Roy,Google Business profile only.
"""Cottage Country Ink Studio""",Tattoo Parlour,Rapid City,South Dakota,USA,(605) 427-3108,Liang Davis,Door-to-door flyers.
"""Golden Courier""",Courier/Delivery,Great Falls,Montana,USA,(406) 907-2830,Stephanie Evans,Craigslist ads.
"""Valley View Electrical Co.""",Electrician,Vernon,British Columbia,Canada,(250) 725-1971,Bill Ward,"Radio ads, no web."
"""Anchor Fencing""",Fencing,Jersey City,New Jersey,USA,(551) 326-4365,Dr. Liang Halverson,Yelp + Facebook. No website.
"""Skyline Tire Service""",Tire Shop,Warren,Michigan,USA,(989) 484-6698,Tom Wright,Farmers market vendor only.
"""Willowbrook Car Care""",Auto Repair,St. John's,Newfoundland,Canada,(709) 792-1229,Miguel Girard,Listed on HomeAdvisor only.
"""Forest Transmission""",Transmission Repair,Flint,Michigan,USA,(248) 419-9260,Malik Johnson,"Radio ads, no web."
"""Longview Window World""",Window Installation,Warren,Michigan,USA,(616) 634-4510,Ed Cooper,Thumbtack profile only.
"""Cascade Lock & Key""",Locksmith,Seattle,Washington,USA,(253) 707-6918,Karen Mason,Old Yellow Pages ad.
"""Blue Sky Mobile Kitchen""",Food Truck,Oxnard,California,USA,(562) 814-6111,Patty Mitchell,Business card and referrals only.
"""Lakeside Exhaust & Brakes""",Muffler Shop,Timmins,Ontario,Canada,(807) 687-7020,Dwayne Cox,Instagram only.
"""South Side HVAC""",HVAC,Steinbach,Manitoba,Canada,(204) 322-3348,Wayne Tucker,No social media. No web.
"""United Boarding Kennel""",Boarding Kennel,Nampa,Idaho,USA,(208) 405-7623,Dan West,Kijiji ads only.
"""Township Lock & Key""",Locksmith,Huntington,West Virginia,USA,(681) 974-7557,Jin Virtanen,Farmers market vendor only.
"""Millcreek Rehab & Physio""",Physiotherapy,Charlottesville,Virginia,USA,(276) 325-5107,Jin Morris,"Lettered truck, no site."
"""Quality Barbershop""",Barbershop,Omaha,Nebraska,USA,(308) 710-1438,Tom Green,Instagram only.
"""Community Stucco Finishing""",Stucco,Reading,Pennsylvania,USA,(724) 985-9064,Ray Walker,Local newspaper ads only.
"""Seaside Tire Service""",Tire Shop,Cleveland,Ohio,USA,(419) 753-9955,Glenda Girard,Google Maps listing only.
"""Lone Pine Furniture Repair""",Furniture Repair,Modesto,California,USA,(559) 653-8531,Rene Hicks,Word-of-mouth only.
"""Oakridge Landscape Services""",Landscaping,Springfield,Massachusetts,USA,(617) 932-7374,Elena Gauthier,"Lettered truck, no site."
"""Olympic Furniture Restoration""",Furniture Repair,Joliet,Illinois,USA,(708) 687-3560,Olga Jensen,Thumbtack profile only.
"""Family Bug & Rodent Control""",Pest Control,Virginia Beach,Virginia,USA,(804) 491-6250,Gilles Joshi,Yelp listing only.
"""Champion Roofing & Siding""",Roofing,Pueblo,Colorado,USA,(720) 589-2594,Nadia Jarvinen,"Old Tripod site, not maintained."
"""Lakeview General Contracting""",General Contracting,San Antonio,Texas,USA,(409) 863-6113,Brian Duncan,Yelp + Facebook. No website.
"""Golden Window Cleaning""",Window Cleaning,Jacksonville,Florida,USA,(813) 238-8551,Dr. Sara Murphy,Chamber of Commerce directory only.
"""Olympic Restoration Services""",Water Damage Restoration,Charleston,West Virginia,USA,(681) 802-1364,Dr. Craig Perry,Facebook check-ins.
"""Iron Stucco Finishing""",Stucco,Longueuil,Quebec,Canada,(514) 907-4373,Alexei Green,Facebook group only.
"""Westcoast Hair & Shave""",Barbershop,Corner Brook,Newfoundland,Canada,(709) 646-4305,Sara Bell,"Lettered truck, no site."
"""Northland Photography""",Photography,Tallahassee,Florida,USA,(863) 431-2506,Dr. Ying Jenkins,Yelp + Facebook. No website.
"""First Class Painting""",Painting,Charleston,South Carolina,USA,(843) 555-2256,Boris Lapointe,Referrals and repeat customers only.
"""Mountain High Lawn & Hydroseed""",Hydroseeding,Akron,Ohio,USA,(330) 624-7591,Earl Duncan,Angie's List profile.
"""Maple Ridge Income Tax""",Tax Preparation,Barrie,Ontario,Canada,(705) 920-9457,Svetlana Cooper,Instagram only.
"""Direct Chef Services""",Personal Chef,Bathurst,New Brunswick,Canada,(506) 779-1981,Blake Perry,Listed on HomeAdvisor only.
"""Meadowbrook Tire & Auto""",Tire Shop,El Paso,Texas,USA,(956) 507-8133,Miguel Rogers,Existing site broken since 2018.
"""Ridgecrest Tile & Stone""",Tile Installation,Dover,Delaware,USA,(302) 462-4868,Lance Perry,No social media. No web.
"""Columbia Moving Co.""",Moving,Springfield,Illinois,USA,(331) 675-8952,Tom Wood,The Knot listed but no own site.
"""Riverside Animal Care""",Pet Clinic,Charleston,West Virginia,USA,(304) 464-5551,Nicole Cook,Chamber of Commerce directory only.
"""Riverbend Catering""",Catering,Springfield,Massachusetts,USA,(351) 521-5882,Dr. Shirley Garcia,Craigslist ads.
"""Skyline K9 Academy""",Dog Training,El Paso,Texas,USA,(940) 343-4867,Pete McDonald,Kijiji ads only.
"""Cedarwood Chef Services""",Personal Chef,St. John's,Newfoundland,Canada,(709) 443-3003,Misha Bergeron,Facebook check-ins.
"""Tri-State Appliance Service""",Appliance Repair,Prince Albert,Saskatchewan,Canada,(306) 379-4507,Carlos Wells,Postcards and flyers.
"""Excel Aquarium Service""",Aquarium Service,Spokane,Washington,USA,(206) 524-9941,Glenda Lafleur,"Old Tripod site, not maintained."
"""Foothills Physiotherapy""",Physiotherapy,Nashua,New Hampshire,USA,(603) 221-1570,Jacques Gagnon,Chamber of Commerce directory only.
"""Sunbelt Embroidery & Monogram""",Embroidery,Grand Junction,Colorado,USA,(720) 901-2999,Jorge Novak,Houzz profile. No own website.
"""Magnolia Flood Restoration""",Water Damage Restoration,Las Vegas,Nevada,USA,(725) 508-2478,John Gibson,HomeStars profile only.
"""Continental Cabinet Co.""",Cabinet Making,Gulfport,Mississippi,USA,(228) 480-2312,Priya Fraser,"Lettered truck, no site."
"""Gulf Rehab & Physio""",Physiotherapy,Vancouver,Washington,USA,(564) 467-9295,Troy Green,Craigslist ads.
"""Port City Remodeling""",Renovations,Yakima,Washington,USA,(564) 228-1853,Svetlana Koskinen,Referrals and repeat customers only.
"""Quick Video Productions""",Videography,Warren,Michigan,USA,(947) 512-6140,Brenda Smith,Listed on Bark.com only.
"""Compass Window Cleaning""",Window Cleaning,Joliet,Illinois,USA,(847) 981-3131,Darnell Virtanen,Google Business profile only.
"""Granite Driver Training""",Driving School,Tacoma,Washington,USA,(253) 903-6367,Rhonda Koskinen,Old Yellow Pages ad.
"""Lakewood Tire Service""",Tire Shop,Cape Coral,Florida,USA,(727) 221-1376,Diana Gibson,The Knot listed but no own site.
"""Bluewater Video Productions""",Videography,Bozeman,Montana,USA,(406) 250-7570,Jean Jenkins,In business 20+ years. No web presence.
"""Columbia Veterinary""",Veterinarian,Albuquerque,New Mexico,USA,(505) 214-9615,Luc Murphy,"Old Tripod site, not maintained."
"""South Side Piano Service""",Piano Tuning,Fort McMurray,Alberta,Canada,(403) 472-5717,Sandy Brooks,"Lettered truck, no site."
"""Lone Pine Stucco & Plaster""",Stucco,Bloomington,Indiana,USA,(260) 628-3955,Amanda Hughes,Existing site broken since 2018.
"""All Pro Sign Shop""",Sign Making,Olathe,Kansas,USA,(620) 578-8506,Rico Price,No digital presence whatsoever.
"""Cliffside Heating & Air""",HVAC,Langley,British Columbia,Canada,(778) 925-7935,Wayne Jensen,Google Business profile only.
"""Broad Street Pumping & Septic""",Septic Services,Hialeah,Florida,USA,(727) 682-6804,Kevin White,Google Business profile only.
"""AAA Child Care""",Daycare,Pueblo,Colorado,USA,(970) 887-7076,Joyce Rao,Phone book listing.
"""Palmetto Food Truck""",Food Truck,Chico,California,USA,(951) 547-8669,Marco Murphy,Phone book listing.
"""Sunshine Power Washing Co.""",Pressure Washing,Gresham,Oregon,USA,(541) 245-3095,Earl Stewart,"Lettered truck, no site."
"""Urban Custom Glass""",Glass & Mirror,Raleigh,North Carolina,USA,(828) 827-5321,Earl Hughes,Listed on HomeAdvisor only.
"""Copper Canyon Tile Installation""",Tile Installation,Appleton,Wisconsin,USA,(920) 851-8208,Glenda Rogers,Yelp listing only.
"""Apex Towing""",Towing,Louisville,Kentucky,USA,(364) 922-8653,Diana Taylor,"Old Tripod site, not maintained."
"""American Concrete Co.""",Concrete,Fredericton,New Brunswick,Canada,(506) 704-2843,Pierre Makinen,Door-to-door flyers.
"""Borderline Fencing""",Fencing,Knoxville,Tennessee,USA,(901) 720-5469,Mei Cooper,Listed on Bark.com only.
"""Direct Piano & Guitar Lessons""",Music Lessons,Prince Albert,Saskatchewan,Canada,(306) 626-2258,Dave Bergeron,HomeStars profile only.
"""Southern Piano Tuning""",Piano Tuning,Bathurst,New Brunswick,Canada,(506) 603-7120,Hassan Miller,Yelp + Facebook. No website.
"""Community Drywall""",Drywall,Allentown,Pennsylvania,USA,(878) 691-8439,Joe Henry,Family-run shop. Facebook only.
"""Green Valley Pool Service""",Pool Maintenance,Tuscaloosa,Alabama,USA,(251) 416-1797,Dwight Diaz,Referrals and repeat customers only.
